,Frequency
174,0.2
8,0.2
83,0.2
53,0.2
106,0.2
120,0.2
121,0.2
10,0.2
39,0.2
126,0.2
35,0.2
78,0.15
38,0.15
42,0.15
36,0.15
44,0.15
46,0.15
60,0.15
61,0.15
85,0.15
79,0.15
81,0.15
33,0.15
2,0.15
96,0.15
97,0.15
114,0.15
122,0.15
123,0.15
125,0.15
168,0.15
34,0.15
1,0.15
7,0.15
19,0.15
23,0.15
65,0.1
135,0.1
145,0.1
63,0.1
144,0.1
141,0.1
68,0.1
69,0.1
139,0.1
137,0.1
136,0.1
124,0.1
131,0.1
18,0.1
9,0.1
117,0.1
87,0.1
113,0.1
90,0.1
112,0.1
93,0.1
22,0.1
98,0.1
148,0.1
158,0.1
164,0.1
162,0.1
58,0.1
3,0.1
49,0.1
50,0.1
172,0.1
170,0.1
54,0.1
56,0.1
153,0.1
26,0.1
31,0.05
166,0.05
173,0.05
169,0.05
12,0.05
102,0.05
167,0.05
101,0.05
119,0.05
127,0.05
165,0.05
5,0.05
129,0.05
161,0.05
133,0.05
160,0.05
159,0.05
140,0.05
157,0.05
143,0.05
14,0.05
154,0.05
32,0.05
104,0.05
15,0.05
16,0.05
29,0.05
41,0.05
48,0.05
57,0.05
72,0.05
74,0.05
75,0.05
76,0.05
77,0.05
21,0.05
80,0.05
82,0.05
17,0.05
88,0.05
94,0.05
62,0.0
147,0.0
59,0.0
149,0.0
150,0.0
151,0.0
152,0.0
103,0.0
55,0.0
155,0.0
156,0.0
24,0.0
52,0.0
51,0.0
89,0.0
47,0.0
25,0.0
163,0.0
45,0.0
43,0.0
27,0.0
95,0.0
40,0.0
28,0.0
100,0.0
171,0.0
37,0.0
30,0.0
146,0.0
64,0.0
115,0.0
66,0.0
116,0.0
86,0.0
118,0.0
91,0.0
11,0.0
84,0.0
111,0.0
6,0.0
110,0.0
20,0.0
4,0.0
109,0.0
128,0.0
108,0.0
130,0.0
107,0.0
132,0.0
13,0.0
134,0.0
105,0.0
99,0.0
92,0.0
138,0.0
71,0.0
70,0.0
67,0.0
142,0.0
73,0.0
